timestamp,age,gender,city,position,total_experience_years,experience_years_germany,seniority_level,main_technology,yearly_salary_eur,yearly_bonus_stocks_eur,vacation_days,employment_status,contract_duration,work_language,company_size,company_type,job_loss_covid,age_range
2020-11-24 11:29:38,28,Male,Berlin,Backend Developer,5.0,1.0,Senior,Kotlin,75000.0,0,25,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 11:29:55,38,Male,Berlin,Devops,10.0,5.0,Senior,Golang,70000.0,0,30,full_time,Unlimited contract,english,51-100,Startup,no,35-40
2020-11-24 11:30:00,29,Male,Berlin,Frontend Developer,7.0,2.0,Senior,JavaScript,72000.0,12000,27,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:30:11,49,Male,Berlin,Software Engineer,15.0,15.0,Senior,Java,67000.0,1500,29,full_time,Unlimited contract,german,1000+,Product,no,46-70
2020-11-24 11:30:21,32,Male,Berlin,Frontend Developer,10.0,5.0,Senior,TypeScript,105000.0,0,60,freelancer,Temporary contract,english,101-1000,Product,yes,25-34
2020-11-24 11:30:38,33,Female,Berlin,Software Engineer,12.0,5.0,Senior,С#,88000.0,35200,30,full_time,Unlimited contract,english,1000+,Product,Unknown,25-34
2020-11-24 11:30:45,30,Male,Berlin,Software Engineer,6.0,3.0,Senior,Java,74000.0,15000,27,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:31:01,48,Male,Berlin,Software Engineer,25.0,11.0,Senior,Java,75000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,46-70
2020-11-24 11:31:38,28,Female,Berlin,Designer (Ui/Ux),5.0,1.0,Senior,unknown,60000.0,0,20,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:31:45,32,Male,Berlin,Backend Developer,3.0,1.0,Middle,Java,77000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:31:50,38,Female,Berlin,Backend Developer,12.0,6.0,Senior,unknown,70000.0,8000,28,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 11:31:51,31,Male,Berlin,Software Engineer,7.0,3.0,Lead,Python,76000.0,10000,27,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 11:32:11,35,Male,Berlin,Backend Developer,10.0,7.0,Senior,Ruby,75000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 11:32:28,29,Female,Berlin,Qa Engineer,8.0,5.0,Senior,unknown,60000.0,0,28,full_time,Unlimited contract,english,51-100,Startup,yes,25-34
2020-11-24 11:32:48,32,Male,Berlin,Backend Developer,8.0,5.0,Senior,PHP,65000.0,0,30,full_time,Unlimited contract,english,11-50,Product,no,25-34
2020-11-24 11:32:57,44,Male,Berlin,Backend Developer,12.0,3.0,Senior,Java,68000.0,0,26,full_time,Unlimited contract,english,11-50,Product,no,40-45
2020-11-24 11:33:33,35,Male,Munich,Software Engineer,11.0,3.0,Senior,PHP,65000.0,5000,29,full_time,Unlimited contract,german,101-1000,Product,no,35-40
2020-11-24 11:33:45,33,Male,Munich,Devops,15.0,4.0,Lead,Golang,90000.0,10000,30,full_time,Unlimited contract,unknown,101-1000,Product,no,25-34
2020-11-24 11:33:46,29,Male,Berlin,Software Engineer,5.0,3.0,Senior,Golang,75000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:33:51,66,Male,Munich,Software Engineer,40.0,4.0,Lead,Ruby,70000.0,0,30,full_time,Unlimited contract,german,51-100,Product,no,46-70
2020-11-24 11:35:25,39,Female,Berlin,Software Engineer,10.0,10.0,Senior,Java,70500.0,1000,30,full_time,Unlimited contract,german,101-1000,Consulting,no,35-40
2020-11-24 11:36:44,28,Male,Munich,Backend Developer,5.0,4.0,Senior,Kotlin,72000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:37:39,34,Male,Munich,Frontend Developer,5.0,5.0,Senior,JavaScript,73500.0,0,27,full_time,Unlimited contract,english,11-50,Product,no,25-34
2020-11-24 11:37:52,34,Male,Munich,Software Engineer,13.0,3.0,Lead,.NET,72000.0,72000,30,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 11:38:10,32,Male,Munich,Frontend Developer,7.0,5.0,Senior,JavaScript,62000.0,0,30,full_time,Unlimited contract,german,101-1000,Consulting,no,25-34
2020-11-24 11:38:14,38,Male,Stuttgart,Hardware Engineer,15.0,5.0,Lead,Hardware,83000.0,0,30,full_time,Unlimited contract,english,1000+,Product,Unknown,35-40
2020-11-24 11:38:15,32,Male,Berlin,Data Scientist,10.0,10.0,Head,unknown,110000.0,30000,30,full_time,Unlimited contract,english,1000+,Consulting,no,25-34
2020-11-24 11:38:22,45,Male,Schleswig-Holstein,Software Engineer,26.0,18.0,Senior,C#,93000.0,10000,30,full_time,Unlimited contract,german,1000+,Product,no,40-45
2020-11-24 11:40:04,28,Male,Berlin,Software Engineer,3.0,2.0,Middle,JavaScript,55000.0,0,22,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 11:40:05,29,Male,Konstanz Area,Mobile Developer,6.0,3.0,Middle,Java,53000.0,0,26,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 11:40:24,36,Male,Munich,Backend Developer,15.0,3.0,Senior,Java,55000.0,0,28,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 11:40:42,39,Male,Berlin,Software Engineer,10.0,2.0,Senior,C#,75000.0,0,30,full_time,Unlimited contract,german,1000+,Consulting,no,35-40
2020-11-24 11:40:45,29,Male,Munich,Software Engineer,7.0,3.0,Senior,JavaScript,80000.0,5000,24,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:42:49,31,Male,Berlin,Engineering Manager,11.0,6.0,Lead,Java,80000.0,0,27,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 11:43:28,30,Male,Berlin,Backend Developer,5.0,5.0,Middle,Java,55000.0,0,27,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:43:34,30,Male,Munich,Devops,8.0,2.0,Middle,unknown,70200.0,75000,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:43:49,33,Male,Frankfurt,Software Engineer,4.0,0.0,Middle,Java,50000.0,0,24,full_time,Unlimited contract,english,11-50,Consulting,no,25-34
2020-11-24 11:44:00,27,Male,Berlin,Software Engineer,5.0,1.0,Senior,Scala,78000.0,0,30,full_time,Unlimited contract,english,1000+,Startup,no,25-34
2020-11-24 11:44:02,26,Female,Munich,Data Scientist,6.0,2.0,Middle,Python,60000.0,10000,26,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:44:10,26,Male,Berlin,Software Engineer,8.0,3.0,Lead,Golang,85000.0,0,28,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:44:18,31,Female,Berlin,Analytics Engineer,6.0,2.0,Middle,SQL,60000.0,0,27,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 11:44:34,30,Male,Berlin,Software Engineer,10.0,2.0,Senior,Scala,72000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:44:51,38,Male,Berlin,Localization Producer,17.0,3.0,Middle,unknown,68500.0,30000,25,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 11:44:59,43,Male,Berlin,Mobile Developer,5.0,3.0,Senior,Kotlin,72000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,40-45
2020-11-24 11:45:28,33,Male,Berlin,Software Engineer,5.0,1.0,Middle,Python,65000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:46:16,24,Male,Berlin,Data Scientist,4.0,2.0,Senior,Python,73000.0,73000,24,full_time,Unlimited contract,english,101-1000,Startup,no,20-24
2020-11-24 11:46:21,29,Male,Berlin,Devops,7.0,1.0,Lead,Golang,78000.0,10000,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:46:42,29,Male,Berlin,Data Scientist,4.0,4.0,Senior,Python,81000.0,0,29,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:46:48,30,Male,Munich,Hardware Engineer,5.0,5.0,Senior,Hardware,75000.0,10000,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:48:46,35,Female,Berlin,Reporting Engineer,3.0,2.0,Middle,DAX,55000.0,3000,31,full_time,Unlimited contract,german,1000+,Product,no,35-40
2020-11-24 11:48:57,27,Female,Hamburg,Account Manager,6.0,1.0,Senior,unknown,50000.0,0,28,full_time,Temporary contract,english,101-1000,Product,no,25-34
2020-11-24 11:49:06,32,Female,Berlin,Product Manager,8.0,8.0,No level,unknown,55000.0,0,27,full_time,Unlimited contract,german,11-50,Consulting,no,25-34
2020-11-24 11:49:42,33,Male,Munich,Qa Engineer,5.0,1.0,Senior,Java,60000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:50:04,28,Male,Berlin,Software Engineer,8.0,3.0,Lead,PHP,80000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:50:51,32,Male,Munich,Software Engineer,7.0,3.0,Senior,Android,60000.0,0,38,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 11:50:52,30,Male,Berlin,Backend Developer,8.0,2.5,Senior,Scala,80000.0,0,25,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:50:56,26,Male,Munich,Backend Developer,7.0,1.5,Senior,Java,78000.0,4000,27,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:51:35,31,Male,Munich,Software Engineer,10.0,2.0,Senior,Java,68000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:52:49,38,Female,Munich,Qa Engineer,6.0,2.0,Middle,Java,62000.0,0,26,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 11:53:56,37,Male,Berlin,Software Engineer,10.0,3.0,Senior,PHP,55000.0,0,26,full_time,Unlimited contract,english,11-50,Startup,no,35-40
2020-11-24 11:54:06,25,Male,Munich,Software Engineer,3.0,1.0,Middle,Java,62000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
